wd_entity,wd_field,wd_type,wd_description
Previous_System_Job_HistoryType,Worker_Reference,WorkerObjectType,Unique Identifier for a worker (Employee or Contingent Worker).
Previous_System_Job_HistoryType,Previous_System_Job_History,Previous_System_Job_History_DataType,
Previous_System_Job_History_Detail_DataType,ID,string,"Unique identifier for a Previous System Job History entry. This can be entered here on an add to set the reference id to a customer determined value or left blank and a default value will be saved. If you are updating an existing entry, entering a value here will change the reference id."
Previous_System_Job_History_Detail_DataType,Worker_History_Name,string,"Name to identify the Previous System Job History. This does not have to be unique. During an update, if no value is sent then the existing value will be kept. Required on an Add."
Previous_System_Job_History_Detail_DataType,Action_Date,date,"Date of the Previous System Job entry. During an update, if no value is sent, then the existing date will be kept. Required on an Add."
Previous_System_Job_History_Detail_DataType,Reason,string,"Reason for the Previous System Job Entry. During an update, if no value is sent then the existing value will be kept. Required on an Add."
Previous_System_Job_History_Detail_DataType,Description,string,"Free Form Description for the Previous System Job Entry. During an update, if no valie is sent then the existing value will be kept."
Previous_System_Job_History_Detail_DataType,Start_Date,date,The start date of the history transaction from a previous system.
Previous_System_Job_History_Detail_DataType,End_Date,date,The end date of the history transaction from a previous system.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_1,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_2,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_3,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_4,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_5,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_6,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_7,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_8,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_9,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_10,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.
Contact_DataType,Internet_Email_Address_Data,Internet_Email_Address_DataType,
Contact_DataType,Phone_Number_Data,Phone_Number_DataType,
Contact_DataType,Address_Data,Address_DataType,
Contact_DataType,Web_Address_Data,Web_Address_DataType,
Contact_DataType,Instant_Messenger_Data,Instant_Messenger_DataType,
Container_Organization_Reference_DataType,Organization_Reference,Organization_ReferenceType,
Organization_Structure_DissolveType,Organization_Reference_Data,Organization_ReferenceType,
