concept_id,system,object_name,field_name,category,object_description,field_description,note
account.id,Workday,CR_FCT_PN_BILLING_EMPLOYEES_DETAILED,ID,HR,,CR_FCT_PN_BILLING_EMPLOYEES_DETAILED HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PN_BILLING_EMPLOYEES_DETAILED Total,,HR,,CR_FCT_PN_BILLING_EMPLOYEES_DETAILED Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PN_BILLING_LMS_HEADCOUNT_DETAILED Total,,HR,,CR_FCT_PN_BILLING_LMS_HEADCOUNT_DETAILED Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PN_BILLING_PERFORMANCE_DETAILED Total,,HR,,CR_FCT_PN_BILLING_PERFORMANCE_DETAILED Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PN_BILLING_REQUISITIONS_DETAILED Total,,HR,,CR_FCT_PN_BILLING_REQUISITIONS_DETAILED Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PN_BILLING_SUCCESSION_DETAILED Total,,HR,,CR_FCT_PN_BILLING_SUCCESSION_DETAILED Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT,ID,HR,,CR_FCT_POSITION_ASSIGNMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_POSITION_ASSIGNMENT Total,,HR,,CR_FCT_POSITION_ASSIGNMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_BAK_INT_CHANGE_20250629,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_BAK_INT_CHANGE_20250629 HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
absence.end_date,Workday,CR_FCT_POSITION_ASSIGNMENT_BAK_INT_CHANGE_20250629 Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_BAK_INT_CHANGE_20250629 Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT HRDH datahub: bigint,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT_HRDX,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT_HRDX HRDH datahub: bigint,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT_HRDX Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT_HRDX Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT_SNAPSHOT_HRDX,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT_SNAPSHOT_HRDX HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_POSITION_ASSIGNMENT_CURRENT_SNAPSHOT_HRDX Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_CURRENT_SNAPSHOT_HRDX Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_HRDX_CURRENT,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_HRDX_CURRENT HRDH datahub: bigint,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_POSITION_ASSIGNMENT_HRDX_CURRENT Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_HRDX_CURRENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_POSITION_ASSIGNMENT_INCL_JOB_MGMT_CURRENT,ID,HR,,CR_FCT_POSITION_ASSIGNMENT_INCL_JOB_MGMT_CURRENT HRDH datahub: bigint,Materialized from direct_alias_match; Workday HRDH datahub.
employee.position,Workday,CR_FCT_POSITION_ASSIGNMENT_INCL_JOB_MGMT_CURRENT Total,,HR,,CR_FCT_POSITION_ASSIGNMENT_INCL_JOB_MGMT_CURRENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_REQUISITION,ID,HR,,CR_FCT_REQUISITION HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_REQUISITION Total,,HR,,CR_FCT_REQUISITION Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_SUCCESSION,ID,HR,,CR_FCT_SUCCESSION HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_SUCCESSION Total,,HR,,CR_FCT_SUCCESSION Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
employee.id,Workday,CR_FCT_TALENT_CONFIRMATION,ID_EMPLOYEE,HR,,CR_FCT_TALENT_CONFIRMATION HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_TALENT_CONFIRMATION Total,,HR,,CR_FCT_TALENT_CONFIRMATION Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_TO,ID,HR,,CR_FCT_TO HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_TO Total,,HR,,CR_FCT_TO Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_TO_BALANCE,ID,HR,,CR_FCT_TO_BALANCE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_TO_BALANCE Total,,HR,,CR_FCT_TO_BALANCE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_TO_BALANCE_PROCESSING,ID,HR,,CR_FCT_TO_BALANCE_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_TO_BALANCE_PROCESSING Total,,HR,,CR_FCT_TO_BALANCE_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_TO_PROCESSING,ID,HR,,CR_FCT_TO_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_TO_PROCESSING Total,,HR,,CR_FCT_TO_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_MDI_PERFORMANCE_TEMPLATE,ID,HR,,CR_MDI_PERFORMANCE_TEMPLATE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_MDI_PERFORMANCE_TEMPLATE Total,,HR,,CR_MDI_PERFORMANCE_TEMPLATE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_Preformance_Template_Hierarchy,ID,HR,,CR_Preformance_Template_Hierarchy HRDH datahub: nvarchar,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_Preformance_Template_Hierarchy Total,,HR,,CR_Preformance_Template_Hierarchy Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,Grand Total,,HR,,Grand Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
