wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
System_User_DataType,Passcode_Exempt,boolean,"True when the user is exempt from One-Time Passcode Authentication, False otherwise. Set this element to true if you want the user to be exempt from one-time passcode authentication.",unmapped,,,,,,
System_User_DataType,Simplified_View,boolean,To enable user preferences that simplify the overall user experience.,unmapped,,,,,,
Emergency_Contact_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,,direct_alias_match,employee.position,,address.country,0.800,contact id,0.550
Dependent_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Dependent_Data_WWSType,Dependent_Educational_Institution,string,Text attribute identifying name of Dependent's Educational Institution.,unmapped,,,,,,
Dependent_Data_WWSType,Full-time_Student,boolean,Boolean attribute identifying whether Dependent is a Full-time Student.,unmapped,,,,,,
Dependent_Data_WWSType,Disabled,boolean,Boolean attribute identifying whether Dependent is Disabled.,unmapped,,,,,,
Dependent_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,,unmapped,,,,,,
Beneficiary_Data_WWSType,Integration_ID_Data,External_Integration_ID_DataType,,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Beneficiary_Data_WWSType,Court_Order_Replacement_Data,Qualified_Domestic_Relations_Order_Replacement_DataType,Beneficiary Court Orders,unmapped,,,,,,
Compensation_Package_ReferenceType,Compensation_Package_Name,string,Unique attribute name/description identifying a valid instance of Compensation Package.,unmapped,,,,,,
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Currency_Reference,Currency_Reference_DataType,,direct_alias_match,compensation.base_salary,,accounting.document_currency_code,0.500,compensation.base_salary,1.000
Employee_Compensation_Salary_Plan_Assignment_Detail_DataType,Frequency_Reference,Frequency_Reference_DataType,,direct_alias_match,compensation.base_salary,,compensation.base_salary,1.000,compensation.base_salary,1.000
Related_Person_DataType,Related_Person_Descriptor_Data,Related_Person_Descriptor_DataType,,unmapped,,,,,,
Related_Person_DataType,Person_Data,Person_DataType,,unmapped,,,,,,
Related_Person_DataType,Beneficiary_Data,Beneficiary_Data_WWSType,,unmapped,,,,,,
Related_Person_DataType,Dependent_Data,Dependent_Data_WWSType,,unmapped,,,,,,
Worker_Profile_GetType,Worker_Reference,Worker_ReferenceType,,direct_alias_match,employee.id,,employee.id,1.000,employee.id,1.000
Worker_Profile_DataType,Employee_ID,string,Text attribute identifying Employee ID.,direct_alias_match,employee.id,,contact.id,0.800,employee id,1.000
Worker_Profile_DataType,Contingent_Worker_ID,string,Text attribute identifying Contingent Worker ID.,direct_alias_match,employee.id,,employee.id,1.000,employee.id,1.000
Worker_Profile_DataType,Business_Title,string,Text attribute identifying Business Title.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Worker_Profile_DataType,Integration_ID_Data,External_Integration_ID_DataType,,direct_alias_match,employee.position,,address.country,0.800,employee.id,0.550
Worker_Profile_DataType,Worker_Personal_Data,Worker_Personal_DataType,,unmapped,,,,,,
Education_History_DataType,Country_Reference,CountryObjectType,The country in which the school is located or in which studies took place.,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Education_History_DataType,Education_Institution,string,Text attribute identifying name of Education Institution.,unmapped,,,,,,
Education_History_DataType,Education_Institution_Location,string,Text attribute identifying Education Institution Location.,unmapped,,,,,,
Education_History_DataType,Education_Grade_Average,string,Text attribute identifying Grade Average.,unmapped,,,,,,
Degree_ReferenceType,Degree_Name,string,Unique attribute name/description identifying a valid instance of Degree.,unmapped,,,,,,
Qualification_DataType,Education_Data,Education_History_DataType,Encapsulating element containing all Education data.,unmapped,,,,,,
Qualification_DataType,Professional_Experience_Data,Professional_Experience_DataType,,unmapped,,,,,,
Professional_Experience_DataType,Professional_Experience,string,Text attribute identifying description of Professional Experience.,unmapped,,,,,,
Professional_Experience_DataType,Professional_Experience_Rating_Reference,Professional_Experience_Rating_ReferenceType,,unmapped,,,,,,
Professional_Experience_DataType,Professional_Experience_Comment,string,Comment,unmapped,,,,,,
Professional_Experience_Rating_ReferenceType,Rating_Description,string,Unique attribute name/description identifying a valid instance of Work Experience Rating.,unmapped,,,,,,
External_Integration_ID_Reference_DataType,ID,IDType,,direct_alias_match,address.city,,activity id,1.000,account.id,1.000
Previous_System_Job_HistoryType,Worker_Reference,WorkerObjectType,Unique Identifier for a worker (Employee or Contingent Worker).,direct_alias_match,employee.id,,address.country,0.500,employee id,0.550
Previous_System_Job_HistoryType,Previous_System_Job_History,Previous_System_Job_History_DataType,,unmapped,,,,,,
Previous_System_Job_History_Detail_DataType,ID,string,"Unique identifier for a Previous System Job History entry. This can be entered here on an add to set the reference id to a customer determined value or left blank and a default value will be saved. If you are updating an existing entry, entering a value here will change the reference id.",direct_alias_match,address.city,,account.id,0.500,account owner,0.550
Previous_System_Job_History_Detail_DataType,Description,string,"Free Form Description for the Previous System Job Entry. During an update, if no valie is sent then the existing value will be kept.",direct_alias_match,address.city,,activity id,0.800,address.city,1.000
Previous_System_Job_History_Detail_DataType,Start_Date,date,The start date of the history transaction from a previous system.,direct_alias_match,employee.position,,absence.start_date,0.800,absence start date,1.000
Previous_System_Job_History_Detail_DataType,End_Date,date,The end date of the history transaction from a previous system.,direct_alias_match,employee.position,,absence.end_date,0.800,absence end date,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_1,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_2,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_3,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_4,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_5,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_6,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_7,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_8,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_9,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Previous_System_Job_History_Detail_DataType,Job_Previous_System_History_Text_10,string,Additional text field which can be added to the Job and Position History grid on the Maintain Worker History from Previous System Worker History to capture additional information.,direct_alias_match,employee.position,,address.country,0.800,employee.position,1.000
Organization_Structure_DissolveType,Organization_Structure_Dissolve_Data,Organization_Structure_Dissolve_DataType,,unmapped,,,,,,
Organization_FindType,Organization_Name,string,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive.",direct_alias_match,account.name,,account.name,1.000,gross amount,0.550
Enrollment_Period_DataType,End_Date,date,The end date of the plan year.,direct_alias_match,employee.position,,absence.end_date,0.800,absence end date,1.000
Name_DataType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Name_DataType,Prefix,Prefix_Name_DataType,,strong_canonical_candidate,,,case.subject,0.800,title salutation,1.000
Name_DataType,First_Name,string,Person first name.This field will only have a value if mapped to a name component for the country (identified by the ISO code above) within the workday application.,direct_alias_match,employee.name,,address.city,0.500,address.country,0.550
Name_DataType,Middle_Name,string,Person middle name.This field will only have a value if mapped to a name component for the country (identified by the ISO code above) within the workday application.,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Name_DataType,Last_Name,Last_Name_DataType,,direct_alias_match,employee.name,,contact.name,0.800,employee.name,1.000
Name_DataType,Local_Name_Data,Local_Name_DataType,,unmapped,,,,,,
Employee_Personal_Info_UpdateType,Employee_Personal_Info_Data,Worker_Personal_Info_DataType,,unmapped,,,,,,
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Currency_Reference,Currency_Reference_DataType,,direct_alias_match,compensation.base_salary,,accounting.document_currency_code,0.500,compensation.base_salary,1.000
Employee_Compensation_Allowance_Plan_Assignment_Detail_DataType,Frequency_Reference,Frequency_Reference_DataType,,direct_alias_match,compensation.base_salary,,compensation.base_salary,1.000,compensation.base_salary,1.000
